Title,Price,Bedrooms,Area,Link
WONDERFUL Studio on Beacon St KENMORE BU SOUTH SIMMONS MCPHS,1500,,396ft2,https://boston.craigslist.org/gbs/fee/d/wonderful-studio-on-beacon-st/6439619287.html
Prime Theater District Location,3990,2,,https://boston.craigslist.org/gbs/fee/d/prime-theater-district/6447893731.html
Amazing Theater District Studio,3160,,,https://boston.craigslist.org/gbs/fee/d/amazing-theater-district/6447889779.html
Quality Theater District 1 Bedroom,3310,1,,https://boston.craigslist.org/gbs/fee/d/quality-theater-district-1/6447859000.html
Exquisite - 1 bed - available 9.1 -,1850,1,,https://boston.craigslist.org/gbs/nfb/d/exquisite-1-bed-available-91/6464817484.html
Prime South End Location,3307,1,715ft2,https://boston.craigslist.org/gbs/fee/d/prime-south-end-location/6451415618.html
Perfect Seaport District 1 Bedroom,3077,1,764ft2,https://boston.craigslist.org/gbs/fee/d/perfect-seaport-district-1/6433169840.html
1 Bed on Commonwealth Ave. ALLSTON Mins to the City!!,1550,1,,https://boston.craigslist.org/gbs/fee/d/1-bed-on-commonwealth-ave/6453646180.html
Prime Seaport District Location,7800,3,1234ft2,https://boston.craigslist.org/gbs/fee/d/prime-seaport-district/6433167644.html
"2 Bd on Commonwealth Ave., Pet Ok, Parking For Rent",1995,2,,https://boston.craigslist.org/gbs/fee/d/2-bd-on-commonwealth-ave-pet/6453494152.html
1 Bd on Commonwealth Ave. ALLSTON,1750,1,,https://boston.craigslist.org/gbs/fee/d/1-bd-on-commonwealth-ave/6453493975.html
1 Bd Split on Brainerd Rd ALLSTON,1895,1,,https://boston.craigslist.org/gbs/fee/d/1-bd-split-on-brainerd-rd/6453493910.html
SUBLET LUXURY 2BR 2B FURNISHED RENTAL - Back Bay/South End,4950,2,1160ft2,https://boston.craigslist.org/gbs/abo/d/sublet-luxury-2br-2b/6464774617.html
Amazing 3 Bedroom/2 Bath in South End,5170,3,1426ft2,https://boston.craigslist.org/gbs/fee/d/amazing-3-bedroom-2-bath-in/6451396890.html
4 Bed on Commonwealth Ave ALLSTON Near BU,4000,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-commonwealth-ave/6453476445.html
Prime North End Location,2400,1,,https://boston.craigslist.org/gbs/fee/d/prime-north-end-location/6438749557.html
BACK BAY 1 BED- Beacon St,2850,1,451ft2,https://boston.craigslist.org/gbs/nfb/d/back-bay-1-bed-beacon-st/6453438702.html
GORGEOUS Studio on Beacon St. BACK BAY Near BU MIT NECO,1800,,,https://boston.craigslist.org/gbs/fee/d/gorgeous-studio-on-beacon-st/6453438499.html
"Huge, single family, 4 beds, east side",4000,4,,https://boston.craigslist.org/gbs/fee/d/huge-single-family-4-beds/6464825466.html
Charming Theater District 2 Bedroom- NO BROKER FEE!,3750,2,,https://boston.craigslist.org/gbs/nfb/d/charming-theater-district-2/6444747920.html
3 Bd on Saint Lukes Rd ALLSTON MINS TO BU HARVARD BUSINESS,3200,3,,https://boston.craigslist.org/gbs/fee/d/3-bd-on-saint-lukes-rd/6453423672.html
4 Bed on Saint Lukes Rd ALLSTON Near BU,4400,4,,https://boston.craigslist.org/gbs/fee/d/4-bed-on-saint-lukes-rd/6453423781.html
GORGEOUS 3 Bed on Aberdeen St FENWAY  CLOSE TO BU NEU SIMMONS MCPHS,3500,3,,https://boston.craigslist.org/gbs/fee/d/gorgeous-3-bed-on-aberdeen-st/6453299585.html
Prime Chinatown Location- NO BROKER FEE!,2600,2,,https://boston.craigslist.org/gbs/nfb/d/prime-chinatown-location-no/6444748893.html
Charming 1 Bedroom in Chinatown- NO BROKER FEE!,1850,1,,https://boston.craigslist.org/gbs/nfb/d/charming-1-bedroom-in/6444749761.html
Prime Studio in South End,2828,,520ft2,https://boston.craigslist.org/gbs/fee/d/prime-studio-in-south-end/6444699674.html
Perfect Studio in South End,2650,,520ft2,https://boston.craigslist.org/gbs/fee/d/perfect-studio-in-south-end/6444691717.html
Charming South End Studio,2739,,590ft2,https://boston.craigslist.org/gbs/fee/d/charming-south-end-studio/6451418432.html
Stunning 2 Bedroom in North End,2500,2,700ft2,https://boston.craigslist.org/gbs/fee/d/stunning-2-bedroom-in-north/6435789327.html
Prime Chinatown Location- NO BROKER FEE!,1975,1,,https://boston.craigslist.org/gbs/nfb/d/prime-chinatown-location-no/6444751425.html
Studio on Brainerd Rd ALLSTON Mins to Downtown,1575,,,https://boston.craigslist.org/gbs/fee/d/studio-on-brainerd-rd-allston/6453494063.html
5 Bed on Linden St Allston RIGHT ON THE GREEN LINE Mins to BU,4200,5,1800ft2,https://boston.craigslist.org/gbs/fee/d/5-bed-on-linden-st-allston/6453493812.html
"4 Bd on Brainerd Rd., 2 Bath, Dishwasher, parking available, Disposal",3700,4,1700ft2,https://boston.craigslist.org/gbs/fee/d/4-bd-on-brainerd-rd-2-bath/6453478994.html
5 Bed Commonwealth Ave ALLSTON Near BU,4800,5,,https://boston.craigslist.org/gbs/fee/d/5-bed-commonwealth-ave/6453476495.html
1 Bed 1 Bath For SEPT 1st Cats Welcome,2400,1,,https://boston.craigslist.org/gbs/fee/d/1-bed-1-bath-for-sept-1st/6455579930.html
Back Bay 1 Bed Beacon St,2795,1,463ft2,https://boston.craigslist.org/gbs/nfb/d/back-bay-1-bed-beacon-st/6453448570.html
3 Bed on Beacon St in KENMORE Near BU SOUTH CAMPUS,3300,3,731ft2,https://boston.craigslist.org/gbs/fee/d/3-bed-on-beacon-st-in-kenmore/6452181468.html
BU SOUTH 2 Bed KENMORE,2450,1,516ft2,https://boston.craigslist.org/gbs/fee/d/bu-south-2-bed-kenmore/6452181407.html
BRAND NEW BACK BAY APARTMENT! Charles River View!,2950,1,451ft2,https://boston.craigslist.org/gbs/nfb/d/brand-new-back-bay-apartment/6453438745.html
Spacious Back Bay 1 Bed Close to MIT / BU / BUMC,2650,1,,https://boston.craigslist.org/gbs/fee/d/spacious-back-bay-1-bed-close/6453438625.html
"Beautiful, Sunny & Spacious 3 bedroom with Stainless Steel Applicances",2718,3,1461ft2,https://boston.craigslist.org/nos/abo/d/beautiful-sunny-spacious-3/6455030384.html
February 1st HALF FEE 2 Bed 1 Bath,2425,2,,https://boston.craigslist.org/gbs/fee/d/february-1st-half-fee-2-bed-1/6455582850.html
2 bed / astonishing / open layout / available September 1st,2300,2,,https://boston.craigslist.org/gbs/fee/d/2-bed-astonishing-open-layout/6464824256.html
